,adasen,bikolano,cebuano,chavacano,english,ilokano,ilonggo,kinaray-a,masbatenyo,paranan,romblomanon,spanish,tagalog,tausug,waray,yami
rre,7,0,0,110,22,21,0,0,0,1,0,89,0,0,0,1
oca,0,0,0,38,0,0,0,0,0,0,0,65,0,0,0,0
lmi,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
kpu,0,0,2,0,0,7,0,10,0,0,0,0,0,0,1,0
mbr,0,0,0,304,2,0,0,0,3,1,10,469,0,0,0,0
lng,2,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0
mdo,0,20,31,0,0,0,50,0,4,0,2,0,0,0,28,0
hmo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
aod,0,6,115,0,0,10,0,0,16,0,0,0,0,0,109,74
inm,0,0,0,0,0,6,25,17,14,0,0,30,9,0,925,27
puc,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akm,0,0,4,0,0,11,0,0,1,0,0,0,3,3,0,546
ddl,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
_vi,0,0,0,337,77,0,0,0,0,0,0,461,0,0,0,21
eri,0,20,8,57,131,8,8,11,8,10,17,73,9,0,8,0
elm,13,1,1,2,1,1,2,2,1,1,2,2,1,0,1,0
hie,0,0,0,4,61,0,0,0,0,0,0,6,0,0,0,0
maj,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0
spa,63,15,13,52,78,22,15,15,2,6,0,28,0,9,17,1
atw,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,24
ehv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
zal,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
upl,3,0,0,24,0,0,8,0,0,0,0,5,1,0,0,0
o_l,145,24,33,216,39,44,41,72,97,4,98,706,45,0,93,253
_ji,0,0,0,3,0,0,0,0,0,0,0,8,0,61,0,2012
nh_,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0
esh,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3
cea,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
lna,31,0,0,0,0,42,0,0,0,8,0,0,0,0,0,0
owd,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
ac_,1180,8,8,9,8,7,9,9,7,8,8,45,8,0,7,0
m_s,59,106,115,2,176,77,160,53,99,76,50,180,55,111,4,212
msa,8,3,0,0,0,6,2,0,0,0,0,0,2,0,0,12
isi,227,396,92,55,19,129,46,276,293,129,304,21,205,319,132,72
nne,14,0,0,0,67,10,0,0,1,2,0,0,0,0,0,3
agg,96,67,18,0,3,93,51,54,21,71,11,0,8,217,42,0
mab,175,72,61,0,0,120,125,142,83,119,163,10,248,351,182,38
ehb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
wns,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kyu,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0
lms,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
m_u,16,0,67,7,52,8,4,4,0,8,0,2,2,7,8,0
ain,151,688,156,5,305,59,106,121,125,70,238,6,301,325,104,253
jaw,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
ukn,0,1,0,0,0,3,0,0,0,0,0,0,0,9,0,0
lu_,494,0,0,2,0,0,0,0,0,278,0,0,2,98,0,0
yar,88,186,0,0,22,35,132,1,125,217,102,1,150,127,5,128
ku_,299,0,0,1,0,0,85,19,7,695,0,0,1,1511,0,0
nve,0,0,0,35,2,0,0,0,0,0,0,18,0,0,0,0
nep,0,2,0,0,2,12,0,0,0,14,0,0,0,0,0,11
_ub,26,38,222,19,0,101,23,33,25,14,38,1,33,333,17,0
suh,0,18,12,0,0,0,15,10,16,1,20,0,6,7,16,0
sac,116,0,0,101,9,0,0,0,0,0,0,132,0,0,0,12
nds,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0
kis,49,6,1,0,10,46,0,0,21,0,2,0,12,1,1,0
cte,0,0,0,0,19,0,0,0,0,0,0,1,0,0,0,0
c_d,144,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
ayu,987,35,17,273,0,30,108,144,56,110,136,24,105,244,17,0
zuf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mam,233,81,80,6,4,261,11,46,49,130,46,5,161,258,105,317
ebk,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
uct,6,0,0,5,2,0,0,0,0,0,0,4,0,0,0,0
ogk,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
kar,275,74,136,0,0,191,159,315,117,84,110,0,222,435,293,758
nmg,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
e_s,1715,179,27,863,1581,4,36,21,54,26,41,838,23,0,12,20
ugp,39,0,0,0,0,5,50,47,2,0,66,0,0,4,40,0
yza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
ipp,0,0,0,0,19,1,0,0,0,0,0,0,0,1,0,3
af_,0,0,0,0,8,0,0,2,0,0,0,0,2,0,0,0
pre,1,1,1,409,91,1,4,3,67,2,87,304,3,0,2,0
ngi,909,258,325,0,8,484,358,370,230,256,239,6,628,140,263,242
ddu,22,0,0,0,9,63,0,0,0,7,0,0,0,12,0,0
rok,0,24,8,0,13,44,0,2,7,4,0,0,2,0,67,4
yya,2,0,0,0,0,0,0,0,0,135,0,0,0,0,0,277
upr,1,1,1,0,0,13,1,9,2,1,1,1,1,0,4,0
ja_,0,0,0,174,1,0,0,0,0,0,0,63,0,159,0,0
udy,110,5,4,0,0,0,8,5,0,13,0,0,5,0,0,0
wuh,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0
xto,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0
mps,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
hua,0,0,1,0,0,0,0,0,2,0,2,0,0,1,0,0
mmo,0,0,0,0,5,198,0,0,0,22,0,0,0,0,0,0
mej,0,0,0,5,0,0,0,0,0,0,0,42,0,0,0,0
_kd,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
wad,38,52,22,0,2,9,38,31,51,62,39,0,35,2,15,31
buo,0,0,152,0,0,8,13,1,47,0,83,0,79,0,27,0
oba,1,16,31,23,0,2,16,5,3,4,0,16,13,0,14,2
ir_,86,4,29,60,199,33,29,19,39,3,71,260,0,18,3,0
ckc,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
z_m,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0
yah,1,10,10,0,0,0,5,29,51,4,20,0,20,325,20,173
rej,0,0,0,8,28,0,0,0,0,0,0,5,0,0,0,0
rb_,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0
mut,19,0,23,2,0,18,13,12,46,25,12,0,14,43,11,0
_mm,1,0,0,0,0,0,0,0,0,51,0,1,0,0,0,0
uko,0,39,100,0,0,61,234,192,70,97,202,0,51,0,123,0
mu_,521,0,0,0,0,0,0,2,43,708,0,3,0,2447,0,0
tuv,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0
rpr,0,0,0,0,7,0,0,0,0,0,0,14,0,0,0,0
wri,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
h_i,3,0,1,0,171,0,0,1,0,0,14,10,0,10,0,0
duj,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
_ek,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
aoy,0,2,69,0,0,6,0,0,0,1,0,0,0,0,2,78
noy,0,0,0,2,0,4,3,1,0,0,0,0,0,0,0,367
utk,0,0,3,0,0,6,7,6,9,0,5,0,0,3,7,0
iks,0,0,0,0,0,1,0,0,0,0,0,0,9,30,0,1
wpo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
hup,0,0,6,0,0,0,0,2,0,0,1,0,0,0,0,0
lit,52,67,118,22,48,62,76,66,17,35,152,12,523,15,368,128
siq,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
tud,33,1,193,9,124,15,58,62,22,13,137,119,0,60,5,0
uig,0,0,22,0,0,0,24,19,14,0,17,0,0,0,22,0
atn,43,0,9,0,0,120,1,0,0,0,0,0,18,0,0,30
ej_,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0
mef,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
hac,0,0,0,581,0,0,0,0,0,0,0,147,0,0,0,0
lso,3,5,23,12,142,0,11,0,0,0,0,18,0,0,1,1
era,0,150,37,353,49,17,37,48,46,50,49,498,5,0,20,65
mla,12,1,0,0,0,0,3,3,0,34,0,0,0,2,0,144
l_e,9,1,0,121,20,0,0,0,0,49,0,223,0,0,0,0
tyr,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0
apa,660,685,754,83,10,1117,838,1001,1083,784,843,71,1631,661,498,1031
fin,0,0,0,19,51,0,0,0,0,0,0,33,0,0,0,0
ukk,0,0,0,0,0,39,0,0,0,0,0,0,0,9,0,0
yop,0,3,13,0,0,0,7,0,6,0,21,0,3,0,21,33
wio,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0
ekc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aiw,13,20,0,0,0,0,3,8,1,0,0,0,5,0,10,0
eyy,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249
mmi,0,0,0,0,19,30,0,0,0,57,0,0,0,5,0,0
hph,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0
umc,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
wid,17,0,0,0,13,73,1,10,3,312,2,0,60,4,2,0
g_s,69,864,1176,41,64,54,1708,822,775,123,677,2,1402,713,63,837
nev,0,3,0,5,26,3,0,0,2,0,4,2,0,0,0,0
deb,0,0,0,33,9,2,0,0,0,0,0,49,0,0,0,0
ie_,0,0,0,0,8,0,0,0,0,0,0,93,0,0,0,0
j_l,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0
z_f,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
_eq,0,0,0,3,2,0,0,0,0,0,0,3,0,0,0,0
mys,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
aqu,0,0,11,650,0,1,12,14,8,8,5,257,5,0,9,0
_em,155,3,16,25,6,17,17,17,2,16,21,42,2,0,17,0
agi,733,301,165,8,3,2907,170,259,302,1360,280,3,334,245,284,5
loj,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ggw,0,0,0,0,0,0,42,30,0,0,1,0,0,0,0,0
oek,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
noj,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
_ga,654,574,580,1071,211,316,486,603,567,673,179,97,417,98,260,8
okd,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8
t_r,14,0,0,1,80,12,0,60,0,3,0,15,0,0,0,19
olu,0,0,13,0,0,0,30,0,0,1,0,12,0,0,1,0
pec,4,0,0,107,4,0,0,0,0,0,0,96,0,0,0,0
ohi,0,0,9,21,0,0,1,2,0,0,0,1,0,0,5,0
fax,0,2,0,2,0,1,2,2,1,1,1,2,1,0,1,0
_m_,77,0,0,0,0,0,0,0,0,608,0,270,0,290,0,0
yau,0,0,0,0,0,0,0,6,0,1,0,0,0,161,0,0
rfe,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0
_ng,11281,282,2935,0,0,2303,4429,5372,151,399,6992,48,3393,254,7774,322
l_s,16,89,116,233,152,7,144,53,55,61,89,306,237,331,9,1
ods,0,0,1,0,12,0,1,0,0,0,0,0,0,0,5,0
huo,0,0,2,0,0,0,17,0,1,0,15,0,0,0,0,0
ufr,0,0,0,60,0,1,0,0,0,0,0,10,0,0,0,0
amz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
cbu,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d_t,146,28,8,20,1896,187,13,257,49,496,18,26,13,95,14,6
aph,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0
dte,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cut,0,0,0,13,23,0,0,0,0,0,0,17,0,0,0,0
laj,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
ow_,0,0,0,0,383,0,0,0,0,1,0,0,0,0,0,28
mi_,192,95,99,113,1,148,90,105,72,175,121,163,131,108,98,15
ll_,0,0,0,0,1531,0,0,0,0,4,0,121,0,0,0,0
sp_,0,0,0,0,0,0,0,0,0,2,0,82,0,0,0,0
yat,207,1,1,22,0,229,13,0,0,84,20,0,19,162,0,317
pin,294,539,112,47,30,254,81,129,163,456,223,21,716,58,203,78
zit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
bci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
o_e,165,0,1,1244,68,0,2,0,0,42,2,1144,0,0,2,18
gic,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jew,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
imk,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ufu,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
ulm,4,0,0,0,0,8,14,4,5,0,0,0,0,6,0,0
iga,202,27,138,38,0,106,56,80,131,28,78,67,291,35,92,12
tiz,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,0
tef,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
oct,0,0,0,6,3,0,0,0,0,0,0,3,0,0,0,0
bey,162,1,0,0,11,0,0,0,0,0,0,0,0,0,0,3
owf,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
rlo,0,0,0,0,4,0,0,0,0,0,0,50,0,0,0,0
cr_,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
_ny,2,4,0,0,0,0,0,1,0,167,0,0,0,17,0,1567
une,2405,0,0,0,4,41,0,0,0,1,0,2,0,0,0,0
cme,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fee,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
umd,9,0,31,0,0,12,50,17,20,0,19,0,0,0,28,0
mub,10,1,4,0,0,0,0,0,1,4,0,0,10,20,10,0
seb,7,0,15,0,0,3,2,2,0,1,0,4,0,0,19,20
teh,0,0,0,0,0,0,0,0,0,391,3,0,0,0,2,66
ash,0,0,0,1,30,0,0,0,0,0,4,0,2,14,0,0
low,0,0,0,0,91,0,2,0,0,0,0,0,0,0,0,8
kga,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
fil,0,4,4,4,76,3,3,4,3,3,4,5,3,0,4,0
_et,0,0,0,17,13,0,0,0,0,1,0,16,0,0,0,0
zow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
rps,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
ntl,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
rpo,0,0,0,136,2,1,0,0,0,0,0,38,0,0,0,0
b_w,2,0,1,0,4,0,1,0,0,0,1,0,0,18,0,0
idh,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
erz,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0
noz,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,111
aih,0,1,1,0,0,0,4,4,0,0,4,0,9,4,21,0
oyi,0,0,0,0,0,0,13,3,0,44,0,0,0,0,13,0
iba,235,349,174,15,0,283,322,216,193,77,440,126,295,1736,228,4
_vy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
wbr,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
htn,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
mok,0,0,35,0,1,21,1,0,15,5,1,0,2,0,16,0
_pi,472,534,261,266,67,369,259,305,324,640,277,197,536,870,295,165
_af,0,0,0,101,119,0,0,0,0,0,0,29,0,0,0,0
esk,7,0,1,0,0,11,0,0,0,0,62,0,58,0,0,0
veh,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,27
alu,308,147,110,37,18,275,207,248,273,185,190,20,136,305,103,0
hen,0,19,0,466,621,21,13,5,2,19,28,3,24,0,12,172
y_h,0,14,44,269,259,2,23,28,40,442,259,127,246,153,467,3
exa,0,0,0,4,17,0,0,0,0,0,1,3,0,0,0,0
oug,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0
wse,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cog,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0
rfl,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
saq,0,0,6,3,0,0,0,0,0,0,0,4,0,0,5,0
cap,0,14,14,46,21,15,14,14,15,14,15,23,14,0,14,0
eor,0,0,0,12,0,0,0,0,0,0,0,7,0,0,0,0
heo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lse,11,0,6,0,26,38,0,0,0,0,0,0,0,0,6,0
omk,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,21
bdo,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0
vta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ski,12,62,1,0,16,3,0,0,0,140,1,0,0,28,2,0
ct_,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0
mit,4,37,321,37,30,16,18,29,28,160,23,23,86,32,72,55
eze,0,3,4,4,3,2,4,4,1,2,3,4,3,0,2,18
_ap,723,34,535,116,53,342,45,33,42,58,29,100,53,20,23,300
opd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
hou,0,0,0,0,705,0,0,0,0,0,0,0,0,0,0,0
jut,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
dy_,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0
uc_,188,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pne,4,0,0,0,2,7,0,0,0,0,0,0,0,0,0,10
_ci,0,4,4,227,78,3,3,3,3,4,0,395,3,0,4,722
uyp,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
tse,2,4,2,2,7,2,3,2,2,4,2,2,3,0,2,10
erf,0,0,0,14,12,0,0,0,0,0,0,13,0,0,0,0
niy,848,808,957,0,0,1,505,0,1094,13,801,0,828,4646,989,27
tma,2,0,0,0,0,20,0,0,0,0,0,0,0,0,0,10
uls,2,0,23,0,4,38,12,27,5,5,0,22,0,7,5,0
itb,13,1,1,0,0,2,1,1,7,0,1,0,4,0,1,5
unv,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
erv,0,0,0,26,112,0,0,0,0,0,0,128,0,0,0,0
tee,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0
tot,1,84,1,2,0,58,4,2,0,1,1,1,74,0,1,21
mle,36,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
pse,2,0,0,0,3,3,0,0,0,2,0,0,0,0,0,4
oti,0,0,7,54,0,1,7,2,0,7,0,4,0,0,10,9
oga,0,113,93,12,0,42,67,71,35,35,38,75,38,0,63,17
caj,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
u_p,173,3,1,35,7,14,22,7,0,175,2,101,2,599,3,0
rgu,13,0,0,7,0,2,0,0,0,0,0,4,0,0,0,0
niz,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,132
pem,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
rey,295,11,0,107,0,2,0,2,2,0,0,48,2,0,0,11
gak,0,17,7,0,0,121,174,270,117,31,139,0,6,17,3,23
hit,0,0,181,0,23,0,8,9,11,0,16,0,30,30,157,0
wam,24,0,0,0,0,1,0,0,0,0,0,0,1,6,0,24
gk_,0,0,0,0,0,0,0,0,0,11,91,0,0,12,0,0
hth,0,0,2,0,3,0,0,0,0,2,0,0,0,0,2,0
ngs,128,1,84,0,256,86,23,54,85,18,242,0,1,134,12,30
ngp,346,2,25,3,0,245,13,19,8,78,421,0,0,90,7,2
n_r,9,14,4,75,34,13,0,167,11,15,1,71,1,31,19,82
nho,0,0,22,0,0,0,7,0,0,0,1,0,0,0,23,0
gtu,228,233,315,0,0,205,188,145,245,38,295,0,55,68,278,0
puy,35,0,38,0,0,24,5,14,7,4,103,0,3,0,0,0
d_g,17,14,29,1,164,9,44,71,46,71,100,1,8,3,30,0
xe_,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
m_a,106,77,64,18,700,177,58,54,39,278,80,59,83,138,99,735
b_c,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0
ehe,0,43,8,10,23,9,8,9,8,9,10,1,7,0,8,26
kub,15,2,3,0,0,3,11,18,6,0,1,0,3,104,1,0
igc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
poa,0,2,2,0,0,3,0,0,0,0,0,0,0,0,2,8
dip,34,3,0,0,3,107,0,0,2,46,5,0,0,0,0,8
enp,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
hij,0,0,0,145,0,0,0,0,0,0,0,269,0,2,0,0
_q_,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ppe,4,0,0,0,51,12,0,0,0,20,0,0,0,0,0,0
gim,88,0,2,0,0,27,0,0,1,2,0,0,1,42,11,1
toe,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
lay,33,93,462,55,30,179,337,233,161,1037,196,2,172,139,204,158
ulu,493,49,111,13,2,5,38,224,171,458,68,0,107,159,13,0
vor,0,0,0,33,8,0,0,0,0,0,0,22,0,0,0,0
wiv,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
_fe,0,7,7,68,176,7,7,7,7,6,7,39,6,0,7,0
ket,3882,29,0,0,64,1360,0,0,0,255,2,0,14,0,1,88
ou_,0,0,0,0,722,0,0,0,0,0,0,0,0,0,0,0
lut,6,4,8,9,16,8,10,3,0,71,2,1,8,31,1,0
ven,0,0,0,191,409,0,0,0,0,0,0,212,0,0,0,11
ob_,9,55,37,14,11,16,100,11,17,12,26,13,68,0,131,120
l_z,0,0,1,2,0,1,0,1,0,0,0,7,0,0,0,0
huw,6,0,6,0,0,0,52,54,48,16,55,0,152,23,56,0
icl,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oad,0,0,21,0,11,0,0,1,0,0,0,0,0,0,0,0
sgo,0,0,11,0,0,0,2,1,0,0,0,0,0,0,1,0
imi,24,49,4,114,0,16,5,6,6,10,6,34,25,170,9,114
cki,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
cht,0,0,2,0,2,0,0,0,2,2,2,0,0,0,2,0
rto,0,13,7,119,0,25,28,13,28,3,11,109,3,0,9,0
icy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
_w_,0,0,0,0,0,0,0,0,0,27,0,0,0,20,0,0
sbo,0,2,2,0,0,3,0,0,0,0,0,0,2,0,0,0
ceo,0,10,0,10,0,12,9,9,9,0,9,11,9,0,0,0
ear,0,0,0,0,477,0,0,0,0,1,0,16,0,0,0,0
dlo,0,0,279,0,1,0,258,169,69,0,54,13,0,0,108,0
ibi,215,102,92,189,0,65,33,16,24,42,8,65,387,135,45,0
may,41,507,371,22,57,683,629,749,659,35,616,30,525,454,487,25
dpi,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
vip,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
yco,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sha,0,0,0,0,828,0,0,0,0,0,2,0,2,0,0,3
rdu,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
ysi,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,100
nwa,0,91,1,0,6,9,94,100,1,34,76,0,23,0,25,30
o_o,1,30,19,98,58,1,4,7,30,1,14,212,22,0,15,1073
adm,0,1,5,6,0,1,2,3,2,7,1,16,1,2,15,15
ffa,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0
d_y,316,1,0,70,107,0,2,1,1,0,2,88,0,7,0,0
ene,0,39,6,975,123,19,10,11,7,6,31,258,6,0,6,87
abe,217,24,22,300,26,23,18,18,64,113,291,105,14,0,24,12
yeg,12,1,23,0,0,32,0,0,0,0,0,0,1,0,0,0
geo,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
upe,11,0,0,20,7,6,0,0,0,0,0,3,0,0,0,0
ban,299,591,561,79,28,311,537,340,264,346,495,305,446,2679,246,27
azz,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
_cs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lop,0,0,7,0,0,7,3,0,0,0,0,0,0,0,8,9
kso,0,10,2,0,0,1,18,19,2,0,20,0,10,0,3,7
kp_,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
get,37,2,2,2,80,50,2,2,2,222,2,2,2,0,2,2
bad,9,36,33,28,7,42,21,33,90,110,15,8,11,32,42,0
rry,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
aco,0,14,12,50,11,11,13,12,14,15,13,112,12,0,9,0
een,0,15,0,0,96,0,0,0,0,19,0,3,0,0,0,0
l_f,0,0,0,39,64,3,0,0,0,0,0,49,0,0,0,0
gil,129,45,146,0,0,41,75,3,4,49,0,4,53,5,31,16
hae,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kih,0,2,9,0,0,0,0,0,6,0,1,0,0,0,0,0
aif,0,3,3,6,0,3,3,3,3,3,3,3,3,0,3,0
gbi,52,5,23,0,0,82,43,31,6,133,40,0,67,68,42,0
a_o,161,111,64,569,7,19,39,32,90,42,98,200,68,0,69,1725
wno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
uch,0,0,0,135,119,0,0,0,0,0,0,174,0,32,0,0
cum,0,1,0,44,6,0,0,0,0,0,0,52,1,0,0,0
l_v,0,0,0,91,3,0,0,0,0,0,0,76,0,0,0,0
nkw,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
irv,0,0,0,33,0,0,0,0,0,0,0,22,0,0,0,0
dog,0,64,49,0,6,5,119,0,84,0,76,0,22,0,46,0
lek,0,0,0,0,0,9,5,0,5,0,2,0,0,0,0,10
asy,17,40,5,0,1,4,8,46,41,10,78,0,7,0,6,117
piy,18,0,11,0,0,0,2,0,4,156,1,0,12,484,2,44
_ps,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
_bo,13,142,5,69,173,4,12,12,16,14,13,100,4,0,4,13
ust,85,9,77,1821,72,14,24,115,141,175,182,86,22,9,6,0
dum,197,322,23,2,13,170,92,96,45,178,79,8,184,178,27,0
vos,0,0,0,5,0,0,0,0,0,0,0,246,0,0,0,42
c_j,0,0,0,0,0,2,0,1,1,0,1,1,1,0,1,0
oab,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0
_hy,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
yae,4,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0
gyp,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
sei,0,0,0,5,4,1,0,0,0,0,0,4,0,0,2,0
cpo,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aff,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
uos,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
w_h,0,8,6,0,74,0,1,12,1,15,13,0,8,95,194,0
dko,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
otg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
dif,0,0,0,14,0,0,0,0,0,0,0,35,0,0,0,0
gwa,70,118,29,0,0,13,160,153,90,6,124,0,10,3,52,92
nih,5,10,20,0,0,0,17,2,11,0,9,0,48,4,22,78
